id,title,thumbnail,description,curriculum,max_tutees,category,tutor
1,기타 초보 탈출 강좌,/static/default.jpg,"Beautiful wall calendar for organizing your schedule.","Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum.",10,1,16
2,스마트폰으로 만드는 감성 영상,/static/default.jpg,"Heavy-duty bicycle lock for security.","Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante. Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros. Suspendisse accumsan tortor quis turpis. Sed ante. Vivamus tortor. Duis mattis egestas metus. Aenean fermentum. Donec ut mauris eget massa tempor convallis.",7,3,27
3,실전 영어 회화 마스터,/static/default.jpg,"Fun inflatable float for lounging in the pool or beach.","Vestibulum rutrum rutrum neque. Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",8,6,3
4,TOEIC 900점 달성 비법,/static/default.jpg,"Non-contact thermometer for quick and easy temperature readings.",Morbi ut odio.,4,6,42
5,스마트폰으로 만드는 감성 영상,/static/default.jpg,"Spicy and smoky sausage great for grilling.","Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl.",9,3,11
6,코딩 테스트 완벽 대비,/static/default.jpg,"A creamy and tangy dressing perfect for salads or as a dipping sauce.","Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",8,4,33
7,엑셀 데이터 활용 능력 향상,/static/default.jpg,"Sweet and tangy mango chutney for a flavorful dip.",Praesent blandit lacinia erat.,5,7,25
8,TOEIC 900점 달성 비법,/static/default.jpg,"Delicious muffins filled with apples and a hint of cinnamon for breakfast.","Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",11,6,19
9,포토샵 기초부터 심화까지,/static/default.jpg,"A wholesome granola with bits of apple and a touch of cinnamon.","Aenean lectus. Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",1,3,48
10,스페인어 기초 회화,/static/default.jpg,"Soft pita bread, perfect for sandwiches or dips.","Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",3,6,7
11,여행 스케치 완전 정복,/static/default.jpg,"Powerful hand blender for soups and smoothies.","Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem. Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",11,3,2
12,주식 투자 기초 다지기,/static/default.jpg,"A nutrient-packed salad mix with kale, quinoa, and a lemon vinaigrette, ready to eat.",Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,3,5,13
13,주식 투자 기초 다지기,/static/default.jpg,"Compact knife with safety lock for everyday use.",Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,7,5,7
14,실전 영어 회화 마스터,/static/default.jpg,"Set of decorative pillow covers to enhance your home decor.","Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",11,6,38
15,기타 초보 탈출 강좌,/static/default.jpg,"UV light sanitizer for phones and small items.","In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",3,1,22
16,파이썬으로 데이터 분석 시작하기,/static/default.jpg,"UV light sanitizer for phones and small items.","Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",7,4,45
17,요가로 몸과 마음 힐링하기,/static/default.jpg,"Powerful blender for smoothies and soups.",Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,9,2,14
18,코딩 테스트 완벽 대비,/static/default.jpg,"Reversible bamboo chopping board for food prep.","Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.",4,4,30
19,나만의 그림 그리기 강좌,/static/default.jpg,"Sweet and nutritious potatoes, great for roasting.",Ut tellus. Nulla ut erat id mauris vulputate elementum. Nullam varius.,10,3,9
